,Movie,Distributor,Screen,Sales,Audience,Genre,Rate,Year,Month,Season,이경영,정인기,마동석,배성우,오달수,라미란,조진웅,김기천,한이진,오정세,CJEnM,LotteShop,Next,ShowBox,CJEnt
51,안시성,(주)넥스트엔터테인먼트월드(NEW),1540,46335.334026,5440186,사극,12세이상관람가,2018,9,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
52,완득이,씨제이이앤엠(주),500,38530.5035,5310510,드라마,12세이상관람가,2011,10,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53,완벽한 타인,롯데컬처웍스(주)롯데엔터테인먼트,1313,44356.752474,5294119,드라마,15세이상관람가,2018,10,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
54,타워,씨제이이앤엠(주),617,37654.858,5181014,드라마,12세이상관람가,2012,12,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
55,추격자,(주)쇼박스,435,33943.2785,5071619,범죄,청소년관람불가,2008,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
56,독전,(주)넥스트엔터테인먼트월드(NEW),1357,43484.892913,5063620,범죄,15세이상관람가,2018,5,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
57,공작,씨제이이앤엠(주),1317,42759.410176,4971261,드라마,12세이상관람가,2018,8,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
58,마스터,씨제이이앤엠(주),1501,39811.539665,4940091,액션,15세이상관람가,2016,12,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
59,바람과 함께 사라지다,(주)넥스트엔터테인먼트월드(NEW),694,34524.377161000004,4897551,코미디,12세이상관람가,2012,8,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
60,조선명탐정 : 각시투구꽃의 비밀,(주)쇼박스,611,35841.7695,4786259,코미디,12세이상관람가,2011,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
61,봉오동 전투,(주)쇼박스,1476,40514.276538,4779501,사극,15세이상관람가,2019,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
62,군도: 민란의 시대,(주)쇼박스,1394,36987.755999,4774895,사극,15세이상관람가,2014,7,3,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
63,범죄와의 전쟁: 나쁜놈들 전성시대,(주)쇼박스,699,36479.1475,4710454,범죄,청소년관람불가,2012,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
64,신세계,(주)넥스트엔터테인먼트월드(NEW),671,34881.330905,4682492,범죄,청소년관람불가,2013,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
65,도가니,씨제이이앤엠(주),644,35566.8548,4662822,드라마,청소년관람불가,2011,9,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
66,내 아내의 모든 것,(주)넥스트엔터테인먼트월드(NEW),563,34222.1605,4598583,코미디,15세이상관람가,2012,5,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
67,나쁜 녀석들: 더 무비,씨제이이앤엠(주),1511,39560.195124,4573902,범죄,15세이상관람가,2019,9,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
68,연가시,씨제이이앤엠(주),759,32154.766664,4513026,공포(호러),15세이상관람가,2012,7,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
69,강철비,(주)넥스트엔터테인먼트월드(NEW),1426,35477.912466,4451336,액션,15세이상관람가,2017,12,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
70,판도라,(주)넥스트엔터테인먼트월드(NEW),1166,33861.718164,4302032,드라마,12세이상관람가,2016,12,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
71,강철중: 공공의 적 1-1,"씨제이엔터테인먼트,(주)시네마서비스",659,28465.757767000006,4300670,드라마,15세이상관람가,2008,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,아가씨,씨제이이앤엠(주),1171,35114.332791,4277071,스릴러,청소년관람불가,2016,6,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
73,용의자,(주)쇼박스,807,30037.161,4131248,액션,15세이상관람가,2013,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
74,건축학개론,롯데쇼핑㈜롯데엔터테인먼트,593,30219.8005,4110645,멜로/로맨스,12세이상관람가,2012,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
75,7급 공무원,롯데쇼핑㈜롯데엔터테인먼트,475,26701.311856,4088799,코미디,12세이상관람가,2009,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
76,댄싱퀸,씨제이이앤엠(주),534,30129.2595,4057546,코미디,12세이상관람가,2012,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
77,우리 생애 최고의 순간,(주)싸이더스,418,26151.780425,4044582,드라마,전체관람가,2008,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,꾼,(주)쇼박스,1314,31313.568795,4018341,범죄,15세이상관람가,2017,11,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
79,타짜-신의 손,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스",890,32267.244827,4001813,드라마,청소년관람불가,2014,9,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
80,박수건달,(주)쇼박스,599,28343.986569,3893216,코미디,15세이상관람가,2013,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
81,조선명탐정 : 사라진 놉의 딸,(주)쇼박스,811,30456.879428,3872015,사극,12세이상관람가,2015,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
82,역린,롯데쇼핑㈜롯데엔터테인먼트,1054,29893.29789,3849433,사극,15세이상관람가,2014,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
83,남한산성,씨제이이앤엠(주),1229,31067.321992,3829891,사극,15세이상관람가,2017,10,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
84,쌍화점,(주)쇼박스,499,25616.489949000006,3779553,드라마,청소년관람불가,2008,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
85,암수살인,(주)쇼박스,1177,32855.895548,3772620,범죄,15세이상관람가,2018,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
86,국가부도의 날,씨제이이앤엠(주),1180,30891.765837,3754983,드라마,12세이상관람가,2018,11,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
87,신기전,씨제이엔터테인먼트,585,24314.570667,3726134,사극,15세이상관람가,2008,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
88,82년생 김지영,롯데컬처웍스(주)롯데엔터테인먼트,1486,30298.54231,3678156,드라마,12세이상관람가,2019,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,귀향,(주)와우픽쳐스,876,27245.05199,3586523,드라마,15세이상관람가,2016,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
90,신의 한 수,(주)쇼박스,794,28777.712256,3562123,범죄,청소년관람불가,2014,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
91,부러진 화살,(주)넥스트엔터테인먼트월드(NEW),453,25878.1105,3450941,드라마,15세이상관람가,2012,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
92,끝까지 간다,(주)쇼박스,645,27006.0079,3450143,액션,15세이상관람가,2014,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
93,스파이,씨제이이앤엠(주),785,24436.429305,3423920,액션,15세이상관람가,2013,9,4,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
94,그것만이 내 세상,씨제이이앤엠(주),862,27441.213382,3417629,코미디,12세이상관람가,2018,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
95,이끼,씨제이엔터테인먼트,736,25856.306126,3408144,드라마,청소년관람불가,2010,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
96,돈,(주)쇼박스,1431,28869.614062,3389035,범죄,15세이상관람가,2019,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
97,포화속으로,롯데쇼핑㈜롯데엔터테인먼트,736,24217.600897,3385706,드라마,12세이상관람가,2010,6,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
98,악인전,"(주)에이스메이커무비웍스,(주)키위미디어그룹",1307,29128.29215,3364079,범죄,청소년관람불가,2019,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
99,아이 캔 스피크,"롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스",1140,25532.214986000006,3280243,코미디,12세이상관람가,2017,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,마녀,워너브러더스 코리아(주),1117,27242.029463,3189091,미스터리,15세이상관람가,2018,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,탐정: 리턴즈,씨제이이앤엠(주),1041,26865.721678,3148038,코미디,15세이상관람가,2018,6,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
102,퀵,씨제이이앤엠(주),512,22960.89,3125069,코미디,15세이상관람가,2011,7,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
103,감기,아이러브시네마,806,21784.202,3119023,드라마,15세이상관람가,2013,8,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
104,하모니,씨제이엔터테인먼트,405,21992.266198,3068544,드라마,12세이상관람가,2010,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
105,거북이 달린다,(주)쇼박스,379,20857.347292,3059812,드라마,15세이상관람가,2009,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
106,스물,(주)넥스트엔터테인먼트월드(NEW),926,23558.988686,3044134,코미디,15세이상관람가,2015,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
107,방자전,씨제이엔터테인먼트,512,22853.629794,3035116,사극,청소년관람불가,2010,6,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
108,마더,씨제이엔터테인먼트,648,20195.373838,3013523,드라마,청소년관람불가,2009,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
109,오싹한 연애,씨제이이앤엠(주),469,21965.313,3001530,공포(호러),12세이상관람가,2011,12,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
110,형,씨제이이앤엠(주),993,23113.768293,2979659,코미디,12세이상관람가,2016,11,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
111,친구 2,롯데쇼핑㈜롯데엔터테인먼트,968,21804.687513,2971475,액션,청소년관람불가,2013,11,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
112,26년,"(주)인벤트스톤,영화사청어람(주)",604,21241.327145,2963449,액션,15세이상관람가,2012,11,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
113,공조,씨제이이앤엠(주),976,23918.185757,2957330,액션,15세이상관람가,2017,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
114,고지전,(주)쇼박스,585,21968.5576,2945137,드라마,15세이상관람가,2011,7,3,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
115,프리즌,(주)쇼박스,1047,23790.276987,2931897,범죄,청소년관람불가,2017,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
116,가장 보통의 연애,(주)넥스트엔터테인먼트월드(NEW),1073,24822.31693,2917213,멜로/로맨스,15세이상관람가,2019,10,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
117,헬로우 고스트,(주)넥스트엔터테인먼트월드(NEW),472,21154.651779,2897477,코미디,12세이상관람가,2010,12,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
118,극비수사,(주)쇼박스,894,22389.535897,2860786,드라마,15세이상관람가,2015,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
119,표적,씨제이이앤엠(주),665,22256.3593,2841788,액션,15세이상관람가,2014,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
120,너의 결혼식,메가박스중앙(주)플러스엠,962,23670.604369,2820029,멜로/로맨스,12세이상관람가,2018,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,말모이,롯데컬처웍스(주)롯데엔터테인먼트,1203,23682.63852,2812444,드라마,12세이상관람가,2019,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,부당거래,씨제이엔터테인먼트,502,21326.977937,2766436,범죄,청소년관람불가,2010,10,4,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
123,시라노; 연애조작단,롯데쇼핑㈜롯데엔터테인먼트,402,20171.151599,2731828,멜로/로맨스,12세이상관람가,2010,9,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
124,내가 살인범이다,(주)쇼박스,547,20338.948,2721903,액션,청소년관람불가,2012,11,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
125,곤지암,(주)쇼박스,1124,21442.114144,2675559,공포(호러),15세이상관람가,2018,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
126,소원,롯데쇼핑㈜롯데엔터테인먼트,641,18251.9831,2663170,드라마,12세이상관람가,2013,10,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
127,살인자의 기억법,(주)쇼박스,1064,21361.479492,2656694,범죄,15세이상관람가,2017,9,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
128,탐정 : 더 비기닝,씨제이이앤엠(주),764,20463.956973,2625686,코미디,15세이상관람가,2015,9,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
129,후궁 : 제왕의 첩,롯데쇼핑㈜롯데엔터테인먼트,624,19250.3545,2621436,사극,청소년관람불가,2012,6,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
130,지금 만나러 갑니다,롯데쇼핑㈜롯데엔터테인먼트,1163,20800.916128,2602273,멜로/로맨스,12세이상관람가,2018,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
131,위험한 상견례,롯데쇼핑㈜롯데엔터테인먼트,524,19174.9205,2595625,코미디,12세이상관람가,2011,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
132,아수라,씨제이이앤엠(주),1278,20576.226662,2594028,범죄,청소년관람불가,2016,9,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
133,굿모닝 프레지던트,씨제이엔터테인먼트,586,18770.88932,2583294,코미디,전체관람가,2009,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
134,보안관,롯데쇼핑㈜롯데엔터테인먼트,1091,20697.532509,2571491,범죄,15세이상관람가,2017,5,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
135,기술자들,롯데쇼핑㈜롯데엔터테인먼트,641,19894.297783,2564340,범죄,15세이상관람가,2014,12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
136,시동,(주)넥스트엔터테인먼트월드(NEW),1515,21236.4778,2525986,드라마,15세이상관람가,2019,12,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
137,목격자,(주)넥스트엔터테인먼트월드(NEW),1021,21732.042597,2524086,스릴러,15세이상관람가,2018,8,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
138,증인,롯데컬처웍스(주)롯데엔터테인먼트,1047,20312.348931,2516128,드라마,12세이상관람가,2019,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,조작된 도시,씨제이이앤엠(주),1019,20119.979587,2512572,범죄,15세이상관람가,2017,2,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
140,반창꼬,(주)넥스트엔터테인먼트월드(NEW),466,17883.988787000002,2471721,멜로/로맨스,15세이상관람가,2012,12,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
141,블랙머니,(주)에이스메이커무비웍스,1117,20744.29651,2464978,범죄,12세이상관람가,2019,11,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
142,화차,필라멘트픽쳐스,548,18450.76,2435211,미스터리,15세이상관람가,2012,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,이웃사람,롯데쇼핑㈜롯데엔터테인먼트,600,18087.442369,2434099,스릴러,청소년관람불가,2012,8,3,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
144,조선명탐정: 흡혈괴마의 비밀,(주)쇼박스,1249,19690.818764,2424330,사극,12세이상관람가,2018,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
145,재심,"오퍼스픽쳐스(유),CGV아트하우스",935,19263.100637,2420729,드라마,15세이상관람가,2017,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,사바하,씨제이이앤엠(주),1174,20002.183194,2397792,미스터리,15세이상관람가,2019,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
147,의뢰인,(주)쇼박스,522,17797.0425,2393086,스릴러,15세이상관람가,2011,9,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
148,화이: 괴물을 삼킨 아이,(주)쇼박스,817,17678.676795,2391963,액션,청소년관람불가,2013,10,4,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
149,가문의 영광4 - 가문의 수난,(주)넥스트엔터테인먼트월드(NEW),537,17762.0355,2363955,코미디,15세이상관람가,2011,9,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
150,블라인드,(주)넥스트엔터테인먼트월드(NEW),404,18361.4305,2362906,스릴러,청소년관람불가,2011,8,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
151,박열,메가박스중앙(주)플러스엠,1176,18093.543795,2359174,드라마,12세이상관람가,2017,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,미인도,씨제이엔터테인먼트,463,15531.621371,2325715,사극,청소년관람불가,2008,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
153,라스트 갓파더,씨제이엔터테인먼트,547,16832.542997,2316099,코미디,12세이상관람가,2010,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
154,하녀,(주)싸이더스,577,17310.669975999994,2304487,스릴러,청소년관람불가,2010,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,박쥐,씨제이엔터테인먼트,462,15051.788827,2237271,공포(호러),청소년관람불가,2009,4,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
156,7광구,씨제이이앤엠(주),812,19314.027,2232179,SF,15세이상관람가,2011,8,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
157,타짜: 원 아이드 잭,롯데컬처웍스(주)롯데엔터테인먼트,1429,19673.441214,2227671,범죄,청소년관람불가,2019,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,마당을 나온 암탉,롯데쇼핑㈜롯데엔터테인먼트,345,14656.5355,2199048,애니메이션,전체관람가,2011,7,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
