,순번,영화명,감독,제작사,배급사,개봉일,영화유형,영화형태,국적,전국,전국.1,전국.2,서울,서울.1,장르,등급,영화구분
276,277.0,"날, 보러와요",이철하,"영화사올(주),(주)발렌타인필름",메가박스중앙(주)플러스엠,2016-04-07,개봉영화,장편,한국,683,"8,821,335,063","1,061,412","2,079,948,563","242,864",미스터리,청소년관람불가,일반영화
277,278.0,수상한 고객들,조진모,(주)메이스엔터테인먼트,씨제이이앤엠(주),2011-04-14,개봉영화,장편,한국,411,"7,953,428,000","1,059,350","2,669,850,500","339,494",코미디,15세이상관람가,일반영화
278,279.0,시크릿,윤재구,"(주)그린피쉬픽쳐스,(주)제이케이필름",씨제이엔터테인먼트,2009-12-03,개봉영화,장편,한국,397,"7,979,591,607","1,046,787","2,678,001,500","335,889",스릴러,청소년관람불가,일반영화
279,280.0,그놈이다,윤준형,상상필름(주),CGV아트하우스,2015-10-28,개봉영화,장편,한국,681,"8,098,811,152","1,046,313","1,801,920,452","223,764",스릴러,15세이상관람가,일반영화
280,281.0,동창생,박홍수,"더램프(주),(주)황금물고기",(주)쇼박스,2013-11-06,개봉영화,장편,한국,660,"6,983,395,126","1,044,522","1,583,311,126","221,965",액션,15세이상관람가,일반영화
281,282.0,점박이:한반도의 공룡3D,한상호,"(주)드림써치C&C,한국교육방송공사 EBS,올리브스튜디오",씨제이이앤엠(주),2012-01-26,개봉영화,장편,한국,457,"9,621,468,000","1,040,636","1,776,299,500","187,715",애니메이션,전체관람가,일반영화
282,283.0,파괴된 사나이,우민호,"아이러브시네마,(주)아이필름홀딩스",(주)시너지하우스 (시너지),2010-07-01,개봉영화,장편,한국,190,"7,820,538,614","1,030,285","2,500,843,000","314,477",드라마,청소년관람불가,일반영화
283,284.0,오직 그대만,송일곤,"(주)51k,(주)에이치비엔터테인먼트",(주)쇼박스,2011-10-20,개봉영화,장편,한국,435,"7,591,008,500","1,027,622","2,118,827,000","271,148",멜로/로맨스,15세이상관람가,일반영화
284,285.0,심장이 뛴다,윤재근,"(주)오죤필름,(유)대결문화산업전문회사",롯데쇼핑㈜롯데엔터테인먼트,2011-01-05,개봉영화,장편,한국,445,"7,538,083,500","1,006,947","2,315,715,000","293,832",드라마,15세이상관람가,일반영화
285,286.0,염력,연상호,(주)영화사레드피터,(주)넥스트엔터테인먼트월드(NEW),2018-01-31,개봉영화,장편,한국,"1,099","7,484,644,112","990,104","1,855,120,412","238,805",드라마,15세이상관람가,일반영화
286,287.0,방황하는 칼날,이정호,(주)에코필름,씨제이이앤엠(주),2014-04-10,개봉영화,장편,한국,594,"7,806,377,800","987,420","1,950,201,400","234,776",범죄,청소년관람불가,일반영화
287,288.0,시체가 돌아왔다,우선호,(주)씨네이천,씨제이이앤엠(주),2012-03-29,개봉영화,장편,한국,435,"7,357,623,000","986,547","1,804,931,500","228,284",범죄,15세이상관람가,일반영화
288,289.0,미쓰 와이프,강효진,(주)영화사아이비젼,메가박스중앙(주)플러스엠,2015-08-13,개봉영화,장편,한국,437,"7,357,162,869","984,265","1,676,810,469","221,861",코미디,15세이상관람가,일반영화
289,290.0,원더풀 라디오,권칠인,"(주)영화사아이비젼,(주)대명문화공장",(주)쇼박스,2012-01-05,개봉영화,장편,한국,474,"7,193,596,000","977,470","2,018,583,000","259,784",드라마,15세이상관람가,일반영화
290,291.0,돈 크라이 마미,김용한,(주)씨네마골뱅이,(주)에스비에스콘텐츠허브,2012-11-22,개봉영화,장편,한국,444,"6,808,882,099","975,462","1,607,844,582","220,683",스릴러,15세이상관람가,일반영화
291,292.0,"고산자, 대동여지도",강우석,(주)시네마서비스,씨제이이앤엠(주),2016-09-07,개봉영화,장편,한국,765,"7,777,473,258","971,194","1,911,829,638","230,579",사극,전체관람가,일반영화
292,293.0,우리는 형제입니다,장진,필름있수다,(주)쇼박스,2014-10-23,개봉영화,장편,한국,566,"7,263,255,399","970,373","1,554,261,699","198,894",코미디,12세이상관람가,일반영화
293,294.0,천문: 하늘에 묻는다,허진호,(주)하이브미디어코프,롯데컬처웍스(주)롯데엔터테인먼트,2019-12-26,개봉영화,장편,한국,"1,198","7,808,242,950","965,624","2,113,501,840","258,720",사극,12세이상관람가,일반영화
294,295.0,전국노래자랑,이종필,(주)인앤인픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,2013-05-01,개봉영화,장편,한국,581,"6,606,589,000","963,634","1,536,557,000","217,914",코미디,12세이상관람가,일반영화
295,296.0,나랏말싸미,조철현,(주)영화사두둥,메가박스중앙(주)플러스엠,2019-07-24,개봉영화,장편,한국,"1,211","7,871,240,823","958,775","1,862,210,553","222,884",사극,전체관람가,일반영화
296,297.0,백야행,박신우,"(주)시네마서비스,폴룩스픽쳐스(주)",(주)시네마서비스,2009-11-19,개봉영화,장편,한국,398,"7,170,684,217","956,767","2,633,582,000","334,942",멜로/로맨스,청소년관람불가,일반영화
297,298.0,허삼관,하정우,"(주)두타연,(주)판타지오픽쳐스",(주)넥스트엔터테인먼트월드(NEW),2015-01-14,개봉영화,장편,한국,621,"7,405,415,569","955,175","1,879,461,269","232,983",드라마,12세이상관람가,일반영화
298,299.0,불한당: 나쁜 놈들의 세상,변성현,"씨제이이앤엠(주),(주)바른손",씨제이이앤엠(주),2017-05-17,개봉영화,장편,한국,860,"7,654,331,125","951,797","2,109,269,425","254,366",범죄,청소년관람불가,일반영화
299,300.0,평행이론,권호영,"(주)다세포클럽,씨제이엔터테인먼트",씨제이엔터테인먼트,2010-02-18,개봉영화,장편,한국,272,"6,905,140,883","937,029","1,959,571,500","250,326",스릴러,15세이상관람가,일반영화
300,301.0,뽀로로 극장판 슈퍼썰매 대모험,박영균,"(주)오콘,중국오락문화투자유한회사","(주)넥스트엔터테인먼트월드(NEW),씨제이이앤엠(주)",2013-01-23,개봉영화,장편,한국,459,"6,819,979,500","929,985","1,575,195,500","201,918",애니메이션,전체관람가,일반영화
301,302.0,더 킹,한재림,(주)우주필름,(주)넥스트엔터테인먼트월드(NEW),2017-01-18,개봉영화,장편,한국,"1,310","7,266,896,026","905,885","1,858,917,626","223,654",범죄,15세이상관람가,일반영화
302,303.0,점쟁이들,신정원,"(주)사람엔터테인먼트,(주)다세포클럽",(주)넥스트엔터테인먼트월드(NEW),2012-10-03,개봉영화,장편,한국,479,"6,345,293,500","900,054","1,468,531,000","198,356",코미디,15세이상관람가,일반영화
303,304.0,인랑,김지운,(주)루이스 픽쳐스,워너브러더스 코리아(주),2018-07-25,개봉영화,장편,한국,"1,085","6,994,748,173","897,548","1,768,239,473","216,427",SF,15세이상관람가,일반영화
304,305.0,극장판 헬로카봇 : 백악기 시대,"최신규,김진철",(주)초이락컨텐츠팩토리,(주)넥스트엔터테인먼트월드(NEW),2018-08-01,개봉영화,장편,한국,758,"6,542,619,500","874,967","1,092,117,400","140,632",애니메이션,전체관람가,일반영화
305,306.0,고死 두 번째 이야기: 교생실습,유선동,(주)코어콘텐츠미디어,(주)넥스트엔터테인먼트월드(NEW),2010-07-28,개봉영화,장편,한국,320,"5,901,045,987","872,594","1,154,161,500","162,101",공포(호러),15세이상관람가,일반영화
306,307.0,열한시,김현석,"(주)파레토웍스,씨제이이앤엠(주)",씨제이이앤엠(주),2013-11-28,개봉영화,장편,한국,512,"6,097,792,000","870,785","1,703,900,000","230,557",스릴러,15세이상관람가,일반영화
307,308.0,미확인 동영상 : 절대클릭금지,김태경,"(주)에이디사공육,(주)다세포클럽",(주)쇼박스,2012-05-30,개봉영화,장편,한국,361,"5,939,840,500","867,386","1,053,713,000","145,988",공포(호러),15세이상관람가,일반영화
308,309.0,살인의뢰,손용호,(주)미인픽쳐스,씨네그루(주)다우기술,2015-03-12,개봉영화,장편,한국,646,"6,986,456,737","855,980","1,716,336,937","201,830",범죄,청소년관람불가,일반영화
309,310.0,좋아해줘,박현진,"리양필름(주),(주)제이케이필름",씨제이이앤엠(주),2016-02-17,개봉영화,장편,한국,637,"6,572,774,337","848,148","1,904,246,337","234,990",멜로/로맨스,12세이상관람가,일반영화
310,311.0,만추,김태용,(주)에스씨에스엔터테인먼트,씨제이엔터테인먼트,2011-02-17,개봉영화,장편,한국,444,"6,300,514,500","844,103","2,403,086,500","306,882",멜로/로맨스,15세이상관람가,일반영화
311,312.0,대립군,정윤철,"리얼라이즈픽쳐스(주),이십세기폭스 인터내셔널 프로덕션,(주)베르디미디어,(주)블러썸픽쳐스",이십세기폭스코리아(주),2017-05-31,개봉영화,장편,한국,809,"6,276,963,402","837,500","1,505,100,202","190,990",드라마,15세이상관람가,일반영화
312,313.0,마린보이,윤종석,리얼라이즈픽쳐스(주),씨제이엔터테인먼트,2009-02-05,개봉영화,장편,한국,340,"5,565,284,169","837,059","1,455,046,000","206,861",액션,15세이상관람가,일반영화
313,314.0,체포왕,임찬익,(주)씨네이천,롯데쇼핑㈜롯데엔터테인먼트,2011-05-04,개봉영화,장편,한국,407,"6,146,610,500","831,804","1,785,434,000","228,733",코미디,15세이상관람가,일반영화
314,315.0,손님,김광태,(주)유비유필름,씨제이이앤엠(주),2015-07-09,개봉영화,장편,한국,634,"6,385,295,880","827,918","1,717,964,980","213,174",판타지,15세이상관람가,일반영화
315,316.0,뽀로로 극장판 공룡섬 대모험,"김현호,윤제완",(주)오콘,(주)넥스트엔터테인먼트월드(NEW),2017-12-07,개봉영화,장편,한국,803,"6,203,897,300","824,079","1,093,529,800","137,767",애니메이션,전체관람가,일반영화
316,317.0,남쪽으로 튀어,임순례,"(주)영화사거미,필름트레인",롯데쇼핑㈜롯데엔터테인먼트,2013-02-06,개봉영화,장편,한국,428,"5,907,297,500","821,918","1,479,390,000","198,233",코미디,15세이상관람가,일반영화
317,318.0,레드슈즈,"홍성호,홍성호",(주)싸이더스,(주)넥스트엔터테인먼트월드(NEW),2019-07-25,개봉영화,장편,한국,717,"6,102,923,190","817,547","1,380,911,550","201,881",애니메이션,전체관람가,일반영화
318,319.0,카트,부지영,(주)명필름,(주)리틀빅픽쳐스,2014-11-13,개봉영화,장편,한국,544,"5,809,735,433","799,275","1,446,480,033","189,714",드라마,12세이상관람가,일반영화
319,320.0,화이트: 저주의 멜로디,"김곡,김선",(주)두엔터테인먼트,씨제이이앤엠(주),2011-06-09,개봉영화,장편,한국,305,"5,587,166,000","790,954","1,093,550,000","146,776",공포(호러),15세이상관람가,일반영화
320,321.0,상의원,이원석,"(주)영화사비단길,상의원문화산업전문(유)","(주)쇼박스,(주)와우픽쳐스",2014-12-24,개봉영화,장편,한국,466,"6,202,433,964","790,158","1,904,029,164","236,326",사극,15세이상관람가,일반영화
321,322.0,관능의 법칙,권칠인,(주)명필름,롯데쇼핑㈜롯데엔터테인먼트,2014-02-13,개봉영화,장편,한국,591,"5,808,789,500","773,996","1,798,198,300","231,102",드라마,청소년관람불가,일반영화
322,323.0,푸른소금,이현승,(주)미디어앤시네마스튜디오블루,씨제이이앤엠(주),2011-08-31,개봉영화,장편,한국,476,"5,739,824,500","771,699","1,634,205,500","208,701",액션,15세이상관람가,일반영화
323,324.0,나는 왕이로소이다,장규성,데이지엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2012-08-08,개봉영화,장편,한국,471,"5,317,185,404","768,971","1,274,113,835","176,961",사극,12세이상관람가,일반영화
324,325.0,상류사회,변혁,(주)하이브미디어코프,롯데컬처웍스(주)롯데엔터테인먼트,2018-08-29,개봉영화,장편,한국,867,"6,313,416,163","768,442","1,519,155,763","181,389",드라마,청소년관람불가,일반영화
325,326.0,뽀로로 극장판 보물섬 대모험,"김현호,윤창섭,김현호",(주)오콘,(주)넥스트엔터테인먼트월드(NEW),2019-04-25,개봉영화,장편,한국,736,"5,886,268,900","766,758","1,016,498,870","126,872",애니메이션,전체관람가,일반영화
326,327.0,레슬러,김대웅,(주)안나푸르나필름,롯데쇼핑㈜롯데엔터테인먼트,2018-05-09,개봉영화,장편,한국,957,"6,440,492,657","765,963","1,392,248,057","159,549",드라마,15세이상관람가,일반영화
327,328.0,스플릿,최국희,오퍼스픽쳐스(유),오퍼스픽쳐스(유),2016-11-09,개봉영화,장편,한국,702,"6,097,721,539","757,430","1,497,661,939","177,946",드라마,15세이상관람가,일반영화
328,329.0,주유소 습격사건 2,김상진,"㈜감독의집,(주)시네마서비스",(주)시네마서비스,2010-01-21,개봉영화,장편,한국,322,"5,466,499,511","742,475","1,378,973,500","176,464",액션,15세이상관람가,일반영화
329,330.0,김씨표류기,이해준,반짝반짝영화사(주),(주)시네마서비스,2009-05-14,개봉영화,장편,한국,288,"4,796,220,849","733,931","1,674,506,000","244,182",코미디,12세이상관람가,일반영화
330,331.0,더 파이브,정연식,(주)시네마서비스,씨제이이앤엠(주),2013-11-14,개봉영화,장편,한국,501,"5,343,797,000","731,212","1,474,402,500","192,286",스릴러,청소년관람불가,일반영화
331,332.0,슬픔보다 더 슬픈 이야기,원태연,(주)코어콘텐츠미디어,(주)쇼박스,2009-03-11,개봉영화,장편,한국,353,"4,774,850,499","724,107","1,319,444,000","189,190",멜로/로맨스,15세이상관람가,일반영화
332,333.0,물괴,허종호,(주)태원엔터테인먼트,"롯데컬처웍스(주)롯데엔터테인먼트,(주)키다리이엔티",2018-09-12,개봉영화,장편,한국,"1,183","6,104,164,954","723,414","1,317,227,754","149,475",액션,15세이상관람가,일반영화
333,334.0,미쓰백,이지원,영화사 배,(주)리틀빅픽쳐스,2018-10-11,개봉영화,장편,한국,638,"6,027,243,066","720,558","1,575,923,166","184,908",드라마,15세이상관람가,일반영화
334,335.0,풍산개,전재홍,(주)김기덕 필름,(주)넥스트엔터테인먼트월드(NEW),2011-06-23,개봉영화,장편,한국,286,"5,395,019,500","714,102","1,709,358,000","217,988",드라마,청소년관람불가,일반영화
335,336.0,국가대표 2,김종현,케이엠컬쳐㈜,메가박스중앙(주)플러스엠,2016-08-10,개봉영화,장편,한국,562,"5,424,324,942","703,024","1,319,827,542","166,219",드라마,12세이상관람가,일반영화
