영화명,배급사,개봉일,전국,전국,전국,장르,등급
,,,스크린수,매출액,관객수,,
완벽한 타인,롯데컬처웍스(주)롯데엔터테인먼트,2018-10-31,"1,313","44,356,752,474","5,294,119",드라마,15세이상관람가
타워,씨제이이앤엠(주),2012-12-25,617,"37,654,858,000","5,181,014",드라마,12세이상관람가
추격자,(주)쇼박스,2008-02-14,435,"33,943,278,500","5,071,619",범죄,청소년관람불가
독전,(주)넥스트엔터테인먼트월드(NEW),2018-05-22,"1,357","43,484,892,913","5,063,620",범죄,15세이상관람가
공작,씨제이이앤엠(주),2018-08-08,"1,317","42,759,410,176","4,971,261",드라마,12세이상관람가
마스터,씨제이이앤엠(주),2016-12-21,"1,501","39,811,539,665","4,940,091",액션,15세이상관람가
바람과 함께 사라지다,(주)넥스트엔터테인먼트월드(NEW),2012-08-08,694,"34,524,377,161","4,897,551",코미디,12세이상관람가
조선명탐정 : 각시투구꽃의 비밀,(주)쇼박스,2011-01-27,611,"35,841,769,500","4,786,259",코미디,12세이상관람가
봉오동 전투,(주)쇼박스,2019-08-07,"1,476","40,514,276,538","4,779,501",사극,15세이상관람가
군도: 민란의 시대,(주)쇼박스,2014-07-23,"1,394","36,987,755,999","4,774,895",사극,15세이상관람가
범죄와의 전쟁: 나쁜놈들 전성시대,(주)쇼박스,2012-02-02,699,"36,479,147,500","4,710,454",범죄,청소년관람불가
신세계,(주)넥스트엔터테인먼트월드(NEW),2013-02-21,671,"34,881,330,905","4,682,492",범죄,청소년관람불가
도가니,씨제이이앤엠(주),2011-09-22,644,"35,566,854,800","4,662,822",드라마,청소년관람불가
내 아내의 모든 것,(주)넥스트엔터테인먼트월드(NEW),2012-05-17,563,"34,222,160,500","4,598,583",코미디,15세이상관람가
나쁜 녀석들: 더 무비,씨제이이앤엠(주),2019-09-11,"1,511","39,560,195,124","4,573,902",범죄,15세이상관람가
연가시,씨제이이앤엠(주),2012-07-05,759,"32,154,766,664","4,513,026",공포(호러),15세이상관람가
강철비,(주)넥스트엔터테인먼트월드(NEW),2017-12-14,"1,426","35,477,912,466","4,451,336",액션,15세이상관람가
판도라,(주)넥스트엔터테인먼트월드(NEW),2016-12-07,"1,166","33,861,718,164","4,302,032",드라마,12세이상관람가
강철중: 공공의 적 1-1,"씨제이엔터테인먼트,(주)시네마서비스",2008-06-19,659,"28,465,757,767","4,300,670",드라마,15세이상관람가
아가씨,씨제이이앤엠(주),2016-06-01,"1,171","35,114,332,791","4,277,071",스릴러,청소년관람불가
용의자,(주)쇼박스,2013-12-24,807,"30,037,161,000","4,131,248",액션,15세이상관람가
건축학개론,롯데쇼핑㈜롯데엔터테인먼트,2012-03-22,593,"30,219,800,500","4,110,645",멜로/로맨스,12세이상관람가
7급 공무원,롯데쇼핑㈜롯데엔터테인먼트,2009-04-22,475,"26,701,311,856","4,088,799",코미디,12세이상관람가
댄싱퀸,씨제이이앤엠(주),2012-01-18,534,"30,129,259,500","4,057,546",코미디,12세이상관람가
우리 생애 최고의 순간,(주)싸이더스,2008-01-10,418,"26,151,780,425","4,044,582",드라마,전체관람가
꾼,(주)쇼박스,2017-11-22,"1,314","31,313,568,795","4,018,341",범죄,15세이상관람가
타짜-신의 손,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스",2014-09-03,890,"32,267,244,827","4,001,813",드라마,청소년관람불가
박수건달,(주)쇼박스,2013-01-09,599,"28,343,986,569","3,893,216",코미디,15세이상관람가
조선명탐정 : 사라진 놉의 딸,(주)쇼박스,2015-02-11,811,"30,456,879,428","3,872,015",사극,12세이상관람가
역린,롯데쇼핑㈜롯데엔터테인먼트,2014-04-30,"1,054","29,893,297,890","3,849,433",사극,15세이상관람가
남한산성,씨제이이앤엠(주),2017-10-03,"1,229","31,067,321,992","3,829,891",사극,15세이상관람가
쌍화점,(주)쇼박스,2008-12-30,499,"25,616,489,949","3,779,553",드라마,청소년관람불가
암수살인,(주)쇼박스,2018-10-03,"1,177","32,855,895,548","3,772,620",범죄,15세이상관람가
국가부도의 날,씨제이이앤엠(주),2018-11-28,"1,180","30,891,765,837","3,754,983",드라마,12세이상관람가
신기전,씨제이엔터테인먼트,2008-09-04,585,"24,314,570,667","3,726,134",사극,15세이상관람가
82년생 김지영,롯데컬처웍스(주)롯데엔터테인먼트,2019-10-23,"1,486","30,298,542,310","3,678,156",드라마,12세이상관람가
귀향,(주)와우픽쳐스,2016-02-24,876,"27,245,051,990","3,586,523",드라마,15세이상관람가
신의 한 수,(주)쇼박스,2014-07-03,794,"28,777,712,256","3,562,123",범죄,청소년관람불가
부러진 화살,(주)넥스트엔터테인먼트월드(NEW),2012-01-18,453,"25,878,110,500","3,450,941",드라마,15세이상관람가
끝까지 간다,(주)쇼박스,2014-05-29,645,"27,006,007,900","3,450,143",액션,15세이상관람가
스파이,씨제이이앤엠(주),2013-09-05,785,"24,436,429,305","3,423,920",액션,15세이상관람가
그것만이 내 세상,씨제이이앤엠(주),2018-01-17,862,"27,441,213,382","3,417,629",코미디,12세이상관람가
이끼,씨제이엔터테인먼트,2010-07-14,736,"25,856,306,126","3,408,144",드라마,청소년관람불가
