영화명,배급사,개봉일,전국,전국,전국,장르,등급
,,,스크린수,매출액,관객수,,
런닝맨,이십세기폭스코리아(주),2013-04-04,567,"10,011,200,500","1,416,053",액션,15세이상관람가
구르믈 버서난 달처럼,에스케이텔레콤(주),2010-04-28,509,"10,408,565,262","1,407,681",사극,15세이상관람가
기억의 밤,"메가박스중앙(주)플러스엠,주식회사 키위컴퍼니",2017-11-29,751,"10,652,346,660","1,387,599",미스터리,15세이상관람가
골든슬럼버,씨제이이앤엠(주),2018-02-14,833,"11,412,768,798","1,387,508",범죄,15세이상관람가
브이아이피,워너브러더스 코리아(주),2017-08-23,996,"10,956,621,835","1,373,316",범죄,청소년관람불가
특별시민,(주)쇼박스,2017-04-26,"1,154","10,494,768,945","1,362,634",드라마,15세이상관람가
차형사,씨제이이앤엠(주),2012-05-30,433,"9,752,555,296","1,346,754",코미디,15세이상관람가
궁합,씨제이이앤엠(주),2018-02-28,966,"10,478,875,438","1,340,117",코미디,12세이상관람가
미스터 고,(주)쇼박스,2013-07-17,840,"9,337,990,000","1,328,890",코미디,12세이상관람가
청담보살,(주)넥스트엔터테인먼트월드(NEW),2009-11-11,404,"9,687,687,439","1,321,005",멜로/로맨스,15세이상관람가
사라진 밤,(주)키다리이엔티,2018-03-07,925,"10,686,397,316","1,314,274",스릴러,15세이상관람가
간첩,롯데쇼핑㈜롯데엔터테인먼트,2012-09-20,576,"9,316,548,500","1,310,895",드라마,15세이상관람가
장산범,(주)넥스트엔터테인먼트월드(NEW),2017-08-17,711,"10,332,117,083","1,305,145",미스터리,15세이상관람가
킹콩을 들다,(주)넥스트엔터테인먼트월드(NEW),2009-07-01,411,"8,597,263,166","1,277,800",드라마,전체관람가
간기남,(주)쇼박스,2012-04-11,356,"9,356,404,500","1,246,185",코미디,청소년관람불가
유열의 음악앨범,CGV아트하우스,2019-08-28,"1,078","10,233,455,040","1,245,532",멜로/로맨스,12세이상관람가
육혈포 강도단,롯데쇼핑㈜롯데엔터테인먼트,2010-03-18,319,"8,784,927,671","1,233,582",코미디,15세이상관람가
심야의 F.M.,롯데쇼핑㈜롯데엔터테인먼트,2010-10-14,422,"9,328,562,568","1,228,673",스릴러,청소년관람불가
특별수사: 사형수의 편지,(주)넥스트엔터테인먼트월드(NEW),2016-06-16,691,"9,792,082,065","1,225,142",범죄,15세이상관람가
찌라시: 위험한 소문,씨제이이앤엠(주),2014-02-20,560,"9,111,648,087","1,221,420",범죄,15세이상관람가
결혼전야,씨너스엔터테인먼트(주),2013-11-21,524,"8,431,504,719","1,212,270",멜로/로맨스,15세이상관람가
악녀,(주)넥스트엔터테인먼트월드(NEW),2017-06-08,685,"9,730,720,144","1,206,917",액션,청소년관람불가
인사동 스캔들,에스케이텔레콤(주),2009-04-29,314,"7,900,084,842","1,206,101",드라마,15세이상관람가
깡철이,씨제이이앤엠(주),2013-10-02,707,"8,534,777,462","1,204,666",드라마,15세이상관람가
시간이탈자,씨제이이앤엠(주),2016-04-13,733,"9,729,882,195","1,202,058",스릴러,15세이상관람가
R2B: 리턴투베이스,씨제이이앤엠(주),2012-08-15,539,"8,600,489,371","1,201,640",액션,15세이상관람가
해빙,롯데쇼핑㈜롯데엔터테인먼트,2017-03-01,915,"9,879,737,822","1,201,576",스릴러,15세이상관람가
더 웹툰: 예고살인,씨제이이앤엠(주),2013-06-27,541,"8,534,322,070","1,201,033",공포(호러),15세이상관람가
생일,(주)넥스트엔터테인먼트월드(NEW),2019-04-03,862,"9,786,575,840","1,186,283",드라마,전체관람가
바람 바람 바람,(주)넥스트엔터테인먼트월드(NEW),2018-04-05,985,"9,702,206,675","1,183,959",코미디,청소년관람불가
빅매치,(주)넥스트엔터테인먼트월드(NEW),2014-11-27,627,"8,952,096,578","1,177,438",액션,15세이상관람가
"힘을 내요, 미스터 리",(주)넥스트엔터테인먼트월드(NEW),2019-09-11,990,"9,887,863,906","1,176,076",코미디,12세이상관람가
서양 골동 양과자점 앤티크,"오퍼스픽쳐스(유),(주)쇼박스",2008-11-13,451,"7,367,880,833","1,173,310",드라마,15세이상관람가
동주,메가박스중앙(주)플러스엠,2016-02-17,499,"8,864,695,589","1,168,427",드라마,12세이상관람가
돈의 맛,"(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",2012-05-17,643,"8,776,870,611","1,165,488",드라마,청소년관람불가
장수상회,씨제이이앤엠(주),2015-04-09,688,"8,707,389,643","1,160,935",멜로/로맨스,12세이상관람가
가문의 영광5 - 가문의 귀환,롯데쇼핑㈜롯데엔터테인먼트,2012-12-19,447,"8,330,342,500","1,160,021",코미디,15세이상관람가
슬로우 비디오,이십세기폭스코리아(주),2014-10-02,618,"8,840,530,219","1,159,787",드라마,12세이상관람가
미씽: 사라진 여자,메가박스중앙(주)플러스엠,2016-11-30,790,"8,881,616,256","1,153,109",미스터리,15세이상관람가
퍼펙트맨,(주)쇼박스,2019-10-02,894,"9,604,139,750","1,144,894",코미디,15세이상관람가
용서는 없다,(주)시네마서비스,2010-01-07,334,"8,737,627,361","1,144,238",범죄,청소년관람불가
장사리 : 잊혀진 영웅들,워너브러더스 코리아(주),2019-09-25,"1,090","8,997,921,050","1,140,876",전쟁,12세이상관람가
고령화 가족,씨제이이앤엠(주),2013-05-09,583,"8,159,482,153","1,139,250",드라마,15세이상관람가
김종욱 찾기,씨제이엔터테인먼트,2010-12-08,442,"8,271,660,983","1,130,638",멜로/로맨스,12세이상관람가
하루,CGV아트하우스,2017-06-15,781,"9,068,009,842","1,129,018",스릴러,15세이상관람가
챔피언,워너브러더스 코리아(주),2018-05-01,874,"9,441,064,230","1,125,319",드라마,12세이상관람가
성난 변호사,씨제이이앤엠(주),2015-10-08,607,"8,697,174,039","1,124,918",범죄,15세이상관람가
"당신, 거기 있어줄래요",롯데쇼핑㈜롯데엔터테인먼트,2016-12-14,767,"8,999,085,248","1,124,815",판타지,12세이상관람가
6년째 연애중,(주)스튜디오210,2008-02-05,327,"7,460,438,000","1,123,294",멜로/로맨스,15세이상관람가
특수본,"(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",2011-11-24,471,"8,096,052,500","1,118,258",액션,15세이상관람가
회사원,(주)쇼박스,2012-10-11,549,"8,321,175,000","1,110,523",액션,청소년관람불가
간신,롯데쇼핑㈜롯데엔터테인먼트,2015-05-21,697,"8,946,842,910","1,110,246",사극,청소년관람불가
베스트셀러,(주)시너지하우스 (시너지),2010-04-15,317,"8,110,824,681","1,099,665",미스터리,15세이상관람가
롱 리브 더 킹: 목포 영웅,"메가박스중앙(주)플러스엠,(주)콘텐츠 난다긴다",2019-06-19,965,"9,218,262,910","1,092,738",액션,15세이상관람가
오빠생각,(주)넥스트엔터테인먼트월드(NEW),2016-01-21,855,"8,058,857,287","1,069,436",드라마,12세이상관람가
"날, 보러와요",메가박스중앙(주)플러스엠,2016-04-07,683,"8,821,335,063","1,061,412",미스터리,청소년관람불가
수상한 고객들,씨제이이앤엠(주),2011-04-14,411,"7,953,428,000","1,059,350",코미디,15세이상관람가
시크릿,씨제이엔터테인먼트,2009-12-03,397,"7,979,591,607","1,046,787",스릴러,청소년관람불가
그놈이다,CGV아트하우스,2015-10-28,681,"8,098,811,152","1,046,313",스릴러,15세이상관람가
동창생,(주)쇼박스,2013-11-06,660,"6,983,395,126","1,044,522",액션,15세이상관람가
점박이:한반도의 공룡3D,씨제이이앤엠(주),2012-01-26,457,"9,621,468,000","1,040,636",애니메이션,전체관람가
파괴된 사나이,(주)시너지하우스 (시너지),2010-07-01,190,"7,820,538,614","1,030,285",드라마,청소년관람불가
오직 그대만,(주)쇼박스,2011-10-20,435,"7,591,008,500","1,027,622",멜로/로맨스,15세이상관람가
심장이 뛴다,롯데쇼핑㈜롯데엔터테인먼트,2011-01-05,445,"7,538,083,500","1,006,947",드라마,15세이상관람가
염력,(주)넥스트엔터테인먼트월드(NEW),2018-01-31,"1,099","7,484,644,112","990,104",드라마,15세이상관람가
방황하는 칼날,씨제이이앤엠(주),2014-04-10,594,"7,806,377,800","987,420",범죄,청소년관람불가
시체가 돌아왔다,씨제이이앤엠(주),2012-03-29,435,"7,357,623,000","986,547",범죄,15세이상관람가
미쓰 와이프,메가박스중앙(주)플러스엠,2015-08-13,437,"7,357,162,869","984,265",코미디,15세이상관람가
원더풀 라디오,(주)쇼박스,2012-01-05,474,"7,193,596,000","977,470",드라마,15세이상관람가
돈 크라이 마미,(주)에스비에스콘텐츠허브,2012-11-22,444,"6,808,882,099","975,462",스릴러,15세이상관람가
바보,씨제이엔터테인먼트,2008-02-28,263,"6,301,818,833","974,554",드라마,12세이상관람가
"고산자, 대동여지도",씨제이이앤엠(주),2016-09-07,765,"7,777,473,258","971,194",사극,전체관람가
우리는 형제입니다,(주)쇼박스,2014-10-23,566,"7,263,255,399","970,373",코미디,12세이상관람가
천문: 하늘에 묻는다,롯데컬처웍스(주)롯데엔터테인먼트,2019-12-26,"1,198","7,808,242,950","965,624",사극,12세이상관람가
전국노래자랑,롯데쇼핑㈜롯데엔터테인먼트,2013-05-01,581,"6,606,589,000","963,634",코미디,12세이상관람가
나랏말싸미,메가박스중앙(주)플러스엠,2019-07-24,"1,211","7,871,240,823","958,775",사극,전체관람가
허삼관,(주)넥스트엔터테인먼트월드(NEW),2015-01-14,621,"7,405,415,569","955,175",드라마,12세이상관람가
불한당: 나쁜 놈들의 세상,씨제이이앤엠(주),2017-05-17,860,"7,654,331,125","951,797",범죄,청소년관람불가
GP 506,(주)쇼박스,2008-04-03,355,"6,316,842,000","945,185",공포(호러),청소년관람불가
평행이론,씨제이엔터테인먼트,2010-02-18,272,"6,905,140,883","937,029",스릴러,15세이상관람가
뽀로로 극장판 슈퍼썰매 대모험,"(주)넥스트엔터테인먼트월드(NEW),씨제이이앤엠(주)",2013-01-23,459,"6,819,979,500","929,985",애니메이션,전체관람가
크로싱,(주)벤티지홀딩스,2008-06-26,303,"5,657,365,667","907,255",드라마,12세이상관람가
더 킹,(주)넥스트엔터테인먼트월드(NEW),2017-01-18,"1,310","7,266,896,026","905,885",범죄,15세이상관람가
점쟁이들,(주)넥스트엔터테인먼트월드(NEW),2012-10-03,479,"6,345,293,500","900,054",코미디,15세이상관람가
인랑,워너브러더스 코리아(주),2018-07-25,"1,085","6,994,748,173","897,548",SF,15세이상관람가
극장판 헬로카봇 : 백악기 시대,(주)넥스트엔터테인먼트월드(NEW),2018-08-01,758,"6,542,619,500","874,967",애니메이션,전체관람가
고死 두 번째 이야기: 교생실습,(주)넥스트엔터테인먼트월드(NEW),2010-07-28,320,"5,901,045,987","872,594",공포(호러),15세이상관람가
열한시,씨제이이앤엠(주),2013-11-28,512,"6,097,792,000","870,785",스릴러,15세이상관람가
미확인 동영상 : 절대클릭금지,(주)쇼박스,2012-05-30,361,"5,939,840,500","867,386",공포(호러),15세이상관람가
숙명,씨제이엔터테인먼트,2008-03-20,341,"5,680,873,500","858,215",드라마,청소년관람불가
살인의뢰,씨네그루(주)다우기술,2015-03-12,646,"6,986,456,737","855,980",범죄,청소년관람불가
좋아해줘,씨제이이앤엠(주),2016-02-17,637,"6,572,774,337","848,148",멜로/로맨스,12세이상관람가
만추,씨제이엔터테인먼트,2011-02-17,444,"6,300,514,500","844,103",멜로/로맨스,15세이상관람가
대립군,이십세기폭스코리아(주),2017-05-31,809,"6,276,963,402","837,500",드라마,15세이상관람가
마린보이,씨제이엔터테인먼트,2009-02-05,340,"5,565,284,169","837,059",액션,15세이상관람가
체포왕,롯데쇼핑㈜롯데엔터테인먼트,2011-05-04,407,"6,146,610,500","831,804",코미디,15세이상관람가
손님,씨제이이앤엠(주),2015-07-09,634,"6,385,295,880","827,918",판타지,15세이상관람가
뽀로로 극장판 공룡섬 대모험,(주)넥스트엔터테인먼트월드(NEW),2017-12-07,803,"6,203,897,300","824,079",애니메이션,전체관람가
남쪽으로 튀어,롯데쇼핑㈜롯데엔터테인먼트,2013-02-06,428,"5,907,297,500","821,918",코미디,15세이상관람가
레드슈즈,(주)넥스트엔터테인먼트월드(NEW),2019-07-25,717,"6,102,923,190","817,547",애니메이션,전체관람가
카트,(주)리틀빅픽쳐스,2014-11-13,544,"5,809,735,433","799,275",드라마,12세이상관람가
화이트: 저주의 멜로디,씨제이이앤엠(주),2011-06-09,305,"5,587,166,000","790,954",공포(호러),15세이상관람가
상의원,"(주)쇼박스,(주)와우픽쳐스",2014-12-24,466,"6,202,433,964","790,158",사극,15세이상관람가
관능의 법칙,롯데쇼핑㈜롯데엔터테인먼트,2014-02-13,591,"5,808,789,500","773,996",드라마,청소년관람불가
푸른소금,씨제이이앤엠(주),2011-08-31,476,"5,739,824,500","771,699",액션,15세이상관람가
나는 왕이로소이다,롯데쇼핑㈜롯데엔터테인먼트,2012-08-08,471,"5,317,185,404","768,971",사극,12세이상관람가
상류사회,롯데컬처웍스(주)롯데엔터테인먼트,2018-08-29,867,"6,313,416,163","768,442",드라마,청소년관람불가
뽀로로 극장판 보물섬 대모험,(주)넥스트엔터테인먼트월드(NEW),2019-04-25,736,"5,886,268,900","766,758",애니메이션,전체관람가
레슬러,롯데쇼핑㈜롯데엔터테인먼트,2018-05-09,957,"6,440,492,657","765,963",드라마,15세이상관람가
모던보이,씨제이엔터테인먼트,2008-10-02,373,"4,971,421,000","758,473",드라마,12세이상관람가
스플릿,오퍼스픽쳐스(유),2016-11-09,702,"6,097,721,539","757,430",드라마,15세이상관람가
주유소 습격사건 2,(주)시네마서비스,2010-01-21,322,"5,466,499,511","742,475",액션,15세이상관람가
김씨표류기,(주)시네마서비스,2009-05-14,288,"4,796,220,849","733,931",코미디,12세이상관람가
더 파이브,씨제이이앤엠(주),2013-11-14,501,"5,343,797,000","731,212",스릴러,청소년관람불가
순정만화,씨제이엔터테인먼트,2008-11-27,386,"4,674,779,333","730,343",멜로/로맨스,12세이상관람가
슬픔보다 더 슬픈 이야기,(주)쇼박스,2009-03-11,353,"4,774,850,499","724,107",멜로/로맨스,15세이상관람가
물괴,"롯데컬처웍스(주)롯데엔터테인먼트,(주)키다리이엔티",2018-09-12,"1,183","6,104,164,954","723,414",액션,15세이상관람가
미쓰백,(주)리틀빅픽쳐스,2018-10-11,638,"6,027,243,066","720,558",드라마,15세이상관람가
풍산개,(주)넥스트엔터테인먼트월드(NEW),2011-06-23,286,"5,395,019,500","714,102",드라마,청소년관람불가
국가대표 2,메가박스중앙(주)플러스엠,2016-08-10,562,"5,424,324,942","703,024",드라마,12세이상관람가
통증,롯데쇼핑㈜롯데엔터테인먼트,2011-09-07,317,"5,207,167,000","693,101",멜로/로맨스,15세이상관람가
신비아파트: 금빛 도깨비와 비밀의 동굴,씨제이이앤엠(주),2018-07-25,762,"5,001,247,250","678,091",애니메이션,전체관람가
신비아파트 극장판 하늘도깨비 대 요르문간드,씨제이이앤엠(주),2019-12-19,841,"5,299,942,440","672,122",애니메이션,전체관람가
고양이: 죽음을 보는 두 개의 눈,(주)넥스트엔터테인먼트월드(NEW),2011-07-07,304,"4,767,098,000","670,295",공포(호러),15세이상관람가
실종,(주)시너지하우스 (시너지),2009-03-19,257,"4,415,413,589","654,587",범죄,청소년관람불가
열정같은소리하고있네,(주)넥스트엔터테인먼트월드(NEW),2015-11-25,566,"4,761,399,902","654,407",드라마,15세이상관람가
그날의 분위기,(주)쇼박스,2016-01-14,592,"5,142,899,612","652,453",멜로/로맨스,15세이상관람가
여고괴담 5,롯데쇼핑㈜롯데엔터테인먼트,2009-06-18,318,"4,205,826,795","652,097",공포(호러),15세이상관람가
울학교 이티,에스케이텔레콤(주),2008-09-11,298,"4,156,170,833","651,439",드라마,15세이상관람가
아빠는 딸,메가박스중앙(주)플러스엠,2017-04-12,520,"5,047,634,395","646,412",코미디,12세이상관람가
사냥,롯데쇼핑㈜롯데엔터테인먼트,2016-06-29,696,"4,912,658,515","645,922",액션,15세이상관람가
나를 찾아줘,워너브러더스 코리아(주),2019-11-27,875,"5,117,014,620","645,082",스릴러,15세이상관람가
광대들: 풍문조작단,워너브러더스 코리아(주),2019-08-21,806,"5,226,776,088","637,021",사극,12세이상관람가
널 기다리며,(주)넥스트엔터테인먼트월드(NEW),2016-03-10,551,"5,232,611,336","634,953",스릴러,청소년관람불가
플랜맨,롯데쇼핑㈜롯데엔터테인먼트,2014-01-09,458,"4,528,561,558","632,299",드라마,15세이상관람가
핸드폰,에스케이텔레콤(주),2009-02-19,356,"4,271,780,582","630,049",스릴러,청소년관람불가
조선마술사,롯데쇼핑㈜롯데엔터테인먼트,2015-12-30,608,"4,650,016,527","628,576",드라마,12세이상관람가
다찌마와리,(주)쇼박스,2008-08-14,299,"4,131,701,167","628,508",액션,12세이상관람가
홍길동의 후예,에스케이텔레콤(주),2009-11-26,380,"4,293,061,087","616,654",액션,12세이상관람가
특종: 량첸살인기,롯데쇼핑㈜롯데엔터테인먼트,2015-10-22,776,"4,754,763,118","616,481",스릴러,15세이상관람가
미쓰GO,(주)넥스트엔터테인먼트월드(NEW),2012-06-21,440,"4,441,859,000","611,685",액션,15세이상관람가
서부전선,롯데쇼핑㈜롯데엔터테인먼트,2015-09-24,509,"4,751,661,400","609,063",전쟁,12세이상관람가
이층의 악당,(주)싸이더스,2010-11-24,384,"4,332,815,318","605,224",코미디,15세이상관람가
반가운 살인자,롯데쇼핑㈜롯데엔터테인먼트,2010-04-08,261,"4,347,073,175","599,176",코미디,15세이상관람가
우는 남자,씨제이이앤엠(주),2014-06-04,508,"4,883,740,800","599,050",액션,청소년관람불가
황제를 위하여,유나이티드픽처스(주),2014-06-11,423,"4,751,881,771","592,041",액션,청소년관람불가
패션왕,(주)넥스트엔터테인먼트월드(NEW),2014-11-06,523,"4,338,223,379","591,125",코미디,15세이상관람가
뜨거운 것이 좋아,(주)시네마서비스,2008-01-17,256,"3,790,235,833","590,409",드라마,15세이상관람가
극장판 헬로카봇 : 달나라를 구해줘!,롯데컬처웍스(주)롯데엔터테인먼트,2019-09-04,889,"4,553,434,150","587,818",애니메이션,전체관람가
퀴즈왕,(주)시네마서비스,2010-09-16,323,"4,258,992,759","583,183",코미디,15세이상관람가
고고 70,(주)쇼박스,2008-10-03,362,"3,795,149,333","581,468",드라마,15세이상관람가
극장판 헬로카봇: 옴파로스 섬의 비밀,(주)넥스트엔터테인먼트월드(NEW),2019-01-31,752,"4,485,905,140","575,353",애니메이션,전체관람가
파파,롯데쇼핑㈜롯데엔터테인먼트,2012-02-01,414,"3,866,065,500","562,156",가족,12세이상관람가
슈퍼맨이었던 사나이,씨제이엔터테인먼트,2008-01-31,388,"3,688,309,333","559,705",드라마,전체관람가
양자물리학,(주)메리크리스마스,2019-09-25,799,"4,526,478,380","553,879",범죄,15세이상관람가
점박이 한반도의 공룡2 : 새로운 낙원,(주)넥스트엔터테인먼트월드(NEW),2018-12-25,672,"4,293,073,300","550,059",애니메이션,전체관람가
너는 펫,롯데쇼핑㈜롯데엔터테인먼트,2011-11-10,341,"3,798,398,000","540,972",멜로/로맨스,12세이상관람가
트럭,(주)싸이더스,2008-09-25,257,"3,668,218,000","540,485",범죄,청소년관람불가
미쓰 홍당무,(주)벤티지홀딩스,2008-10-16,290,"3,564,401,608","532,324",드라마,청소년관람불가
사이코메트리,씨제이이앤엠(주),2013-03-07,429,"3,964,769,129","531,953",미스터리,청소년관람불가
버닝,CGV아트하우스,2018-05-17,739,"4,714,345,098","528,153",미스터리,청소년관람불가
챔프,(주)쇼박스,2011-09-07,288,"3,805,721,000","528,149",드라마,12세이상관람가
7년의 밤,씨제이이앤엠(주),2018-03-28,872,"3,969,337,524","528,007",스릴러,15세이상관람가
몬스터,롯데쇼핑㈜롯데엔터테인먼트,2014-03-13,527,"4,136,202,515","526,282",스릴러,청소년관람불가
헬머니,(주)넥스트엔터테인먼트월드(NEW),2015-03-05,422,"4,096,141,972","519,983",코미디,청소년관람불가
가려진 시간,(주)쇼박스,2016-11-16,884,"3,946,462,400","510,878",드라마,12세이상관람가
남자사용설명서,(주)쇼박스,2013-02-14,372,"3,602,049,257","507,257",코미디,15세이상관람가
아부의 왕,롯데쇼핑㈜롯데엔터테인먼트,2012-06-21,428,"3,511,102,500","497,880",코미디,15세이상관람가
캐치미,롯데쇼핑㈜롯데엔터테인먼트,2013-12-18,517,"3,387,483,000","492,773",코미디,12세이상관람가
무서운 이야기 2,롯데쇼핑㈜롯데엔터테인먼트,2013-06-05,337,"3,375,472,500","492,465",미스터리,15세이상관람가
불량남녀,(주)쇼박스,2010-11-04,345,"3,619,026,909","491,207",코미디,15세이상관람가
또 하나의 약속,영화사올(주),2014-02-06,192,"3,470,184,400","489,409",드라마,12세이상관람가
침묵,씨제이이앤엠(주),2017-11-02,634,"3,873,542,364","487,897",드라마,15세이상관람가
해어화,롯데쇼핑㈜롯데엔터테인먼트,2016-04-13,572,"3,763,852,759","485,083",사극,15세이상관람가
계춘할망,(주)콘텐츠 난다긴다,2016-05-19,526,"3,589,317,348","480,987",가족,15세이상관람가
소녀괴담,(주)리틀빅픽쳐스,2014-07-02,455,"3,546,340,054","480,528",미스터리,15세이상관람가
조선미녀삼총사,(주)쇼박스,2014-01-29,388,"3,471,341,321","480,361",코미디,12세이상관람가
친정엄마,(주)싸이더스,2010-04-22,276,"3,367,901,082","478,822",드라마,전체관람가
넛잡: 땅콩 도둑들,(주)싸이더스,2014-01-29,382,"3,280,608,100","478,392",애니메이션,전체관람가
"로봇, 소리",롯데쇼핑㈜롯데엔터테인먼트,2016-01-27,609,"3,519,595,560","476,665",드라마,12세이상관람가
변산,메가박스중앙(주)플러스엠,2018-07-04,763,"3,886,052,473","474,137",드라마,15세이상관람가
위험한 상견례 2,"롯데쇼핑㈜롯데엔터테인먼트,(주)마인스 엔터테인먼트",2015-04-29,429,"3,575,384,754","472,693",멜로/로맨스,15세이상관람가
카운트다운,"(주)싸이더스,(주)넥스트엔터테인먼트월드(NEW)",2011-09-29,341,"3,630,557,000","471,547",드라마,청소년관람불가
식객2 : 김치전쟁,롯데쇼핑㈜롯데엔터테인먼트,2010-01-28,357,"3,298,814,209","471,103",드라마,전체관람가
달콤한 거짓말,씨제이엔터테인먼트,2008-12-18,339,"3,116,983,744","470,256",멜로/로맨스,12세이상관람가
리얼,씨제이이앤엠(주),2017-06-28,970,"3,357,312,530","470,105",액션,청소년관람불가
페이스메이커,"(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",2012-01-18,412,"3,443,753,000","467,697",드라마,12세이상관람가
순수의 시대,씨제이이앤엠(주),2015-03-05,546,"3,702,353,828","465,492",사극,청소년관람불가
동네사람들,(주)리틀빅픽쳐스,2018-11-07,731,"3,797,676,112","459,020",액션,15세이상관람가
노브레싱,(주)나이너스엔터테인먼트,2013-10-30,584,"2,991,824,739","451,669",드라마,15세이상관람가
원더풀 고스트,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온",2018-09-26,351,"3,720,931,600","450,374",코미디,12세이상관람가
대한민국 1%,롯데쇼핑㈜롯데엔터테인먼트,2010-05-05,287,"2,280,762,516","447,569",드라마,12세이상관람가
반드시 잡는다,(주)넥스트엔터테인먼트월드(NEW),2017-11-29,565,"3,324,033,772","446,379",스릴러,15세이상관람가
뽀로로 극장판 컴퓨터 왕국 대모험,(주)넥스트엔터테인먼트월드(NEW),2015-12-10,544,"3,290,582,700","445,014",애니메이션,전체관람가
오감도,(주)시너지하우스 (시너지),2009-07-09,302,"3,107,441,952","443,462",드라마,청소년관람불가
10억,(주)싸이더스,2009-08-06,252,"3,142,668,973","438,833",스릴러,15세이상관람가
감쪽같은 그녀,메가박스중앙(주)플러스엠,2019-12-04,761,"3,377,511,790","436,205",드라마,전체관람가
아기와 나,(주)프라임엔터테인먼트,2008-08-14,217,"2,667,055,000","435,551",드라마,12세이상관람가
원라인,(주)넥스트엔터테인먼트월드(NEW),2017-03-29,613,"3,310,122,433","433,825",범죄,15세이상관람가
"협녀, 칼의 기억",롯데쇼핑㈜롯데엔터테인먼트,2015-08-13,572,"3,360,045,489","431,310",사극,15세이상관람가
창수,"(주)마인스 엔터테인먼트,(주)박수엔터테인먼트",2013-11-28,415,"3,146,542,000","429,141",드라마,청소년관람불가
오피스,(주)리틀빅픽쳐스,2015-09-03,425,"3,354,086,230","428,429",스릴러,15세이상관람가
모비딕,(주)쇼박스,2011-06-09,377,"3,246,572,000","428,139",스릴러,15세이상관람가
두 개의 달,롯데쇼핑㈜롯데엔터테인먼트,2012-07-12,347,"2,944,786,748","425,972",공포(호러),15세이상관람가
나를 잊지 말아요,씨제이이앤엠(주),2016-01-07,559,"3,398,915,000","425,799",멜로/로맨스,15세이상관람가
티끌모아 로맨스,필라멘트픽쳐스,2011-11-10,294,"2,942,253,500","424,002",멜로/로맨스,15세이상관람가
기다리다 미쳐,(주)시네마서비스,2008-01-01,239,"2,725,342,667","422,363",멜로/로맨스,15세이상관람가
흥부: 글로 세상을 바꾼 자,롯데쇼핑㈜롯데엔터테인먼트,2018-02-14,627,"3,381,050,200","416,303",사극,12세이상관람가
늑대소년-확장판,씨제이이앤엠(주),2012-12-06,278,"2,868,302,500","414,083",멜로/로맨스,15세이상관람가
극장판 공룡메카드: 타이니소어의 섬,(주)넥스트엔터테인먼트월드(NEW),2019-01-10,763,"3,140,214,420","410,131",애니메이션,전체관람가
넛잡 2,롯데쇼핑㈜롯데엔터테인먼트,2017-10-03,526,"3,038,945,100","407,727",애니메이션,전체관람가
좋은 친구들,씨제이이앤엠(주),2014-07-10,371,"3,201,527,031","404,456",범죄,청소년관람불가
사랑이 무서워,롯데쇼핑㈜롯데엔터테인먼트,2011-03-10,290,"2,992,783,000","397,923",코미디,15세이상관람가
내 심장을 쏴라,"(주)리틀빅픽쳐스,(주)이수C&E",2015-01-28,452,"2,856,859,132","387,409",드라마,15세이상관람가
나의 독재자,롯데쇼핑㈜롯데엔터테인먼트,2014-10-30,654,"2,906,692,546","385,934",드라마,15세이상관람가
보통사람,오퍼스픽쳐스(유),2017-03-23,621,"2,956,397,623","383,336",드라마,15세이상관람가
소수의견,(주)시네마서비스,2015-06-24,398,"2,891,431,205","383,332",드라마,15세이상관람가
대장 김창수,"(주)키다리이엔티,주식회사 키위컴퍼니",2017-10-19,748,"2,871,905,115","380,581",드라마,12세이상관람가
경성학교: 사라진 소녀들,롯데쇼핑㈜롯데엔터테인먼트,2015-06-18,489,"2,749,027,700","356,342",미스터리,15세이상관람가
석조저택 살인사건,(주)키다리이엔티,2017-05-09,539,"2,815,742,886","351,830",스릴러,15세이상관람가
커플즈,(주)싸이더스,2011-11-02,387,"2,646,578,500","351,779",멜로/로맨스,15세이상관람가
싱글라이더,워너브러더스 코리아(주),2017-02-22,576,"2,685,519,021","351,276",드라마,15세이상관람가
7호실,롯데쇼핑㈜롯데엔터테인먼트,2017-11-15,629,"2,677,284,639","347,790",코미디,15세이상관람가
치외법권,판씨네마(주),2015-08-27,446,"2,664,941,005","346,483",액션,15세이상관람가
러브 유어셀프 인 서울,씨제이 씨지브이(CJ CGV)(주),2019-01-26,224,"3,209,682,900","342,366",공연,전체관람가
하이힐,롯데쇼핑㈜롯데엔터테인먼트,2014-06-03,385,"2,735,972,500","339,844",범죄,청소년관람불가
음치 클리닉,롯데쇼핑㈜롯데엔터테인먼트,2012-11-29,360,"2,248,238,000","338,168",멜로/로맨스,12세이상관람가
맨발의 꿈,(주)쇼박스,2010-06-24,333,"2,413,427,097","338,080",드라마,전체관람가
허스토리,(주)넥스트엔터테인먼트월드(NEW),2018-06-27,696,"2,521,025,949","336,822",드라마,12세이상관람가
브링 더 소울 : 더 무비,"CGV ICECON,월트디즈니컴퍼니코리아 유한책임회사",2019-08-07,569,"2,902,500,310","336,074",기타,전체관람가
